image_path,video,pid,label,prediction,correct,prob_cross,prob_notcross,confidence,margin,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_area,bbox_aspect,bbox_cx_rel,bbox_cy_rel,img_w,img_h,occlusion
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00028.png,video_0016,unknown,0,1,0,0.9985999464988708,0.0014000168303027,0.9985999464988708,0.997199929668568,885.0,644.0,906.0,712.0,21.0,68.0,1428.0,3.238095238095238,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0135/00069.png,video_0135,unknown,0,1,0,0.9951651096343994,0.0048349294811487,0.9951651096343994,0.9903301801532508,0.0,655.0,73.0,806.0,73.0,151.0,11023.0,2.068493150684932,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00175.png,video_0016,unknown,0,1,0,0.9838558435440063,0.0161440912634134,0.9838558435440063,0.9677117522805928,232.0,632.0,287.0,787.0,55.0,155.0,8525.0,2.8181818181818183,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0025/00049.png,video_0025,unknown,0,1,0,0.982517659664154,0.0174823515117168,0.982517659664154,0.9650353081524372,518.0,631.0,530.0,665.0,12.0,34.0,408.0,2.833333333333333,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00021.png,video_0016,unknown,0,1,0,0.976848602294922,0.0231513995677232,0.976848602294922,0.9536972027271986,846.0,639.0,879.0,705.0,33.0,66.0,2178.0,2.0,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0299/00035.png,video_0299,unknown,0,1,0,0.9720500111579896,0.0279500093311071,0.9720500111579896,0.9441000018268824,1136.0,645.0,1167.0,715.0,31.0,70.0,2170.0,2.2580645161290325,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0135/00055.png,video_0135,unknown,0,1,0,0.9706218242645264,0.0293782148510217,0.9706218242645264,0.9412436094135046,56.0,659.0,130.0,795.0,74.0,136.0,10064.0,1.837837837837838,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0208/00178.png,video_0208,unknown,0,1,0,0.9665696024894714,0.0334304608404636,0.9665696024894714,0.9331391416490078,1019.0,699.0,1056.0,777.0,37.0,78.0,2886.0,2.108108108108108,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0025/00070.png,video_0025,unknown,0,1,0,0.965280830860138,0.0347192026674747,0.965280830860138,0.9305616281926632,417.0,636.0,437.0,681.0,20.0,45.0,900.0,2.25,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00189.png,video_0016,unknown,0,1,0,0.9620790481567384,0.0379209294915199,0.9620790481567384,0.9241581186652184,325.0,631.0,387.0,788.0,62.0,157.0,9734.0,2.532258064516129,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00049.png,video_0016,unknown,0,1,0,0.9608123898506165,0.039187628775835,0.9608123898506165,0.9216247610747814,987.0,639.0,1023.0,716.0,36.0,77.0,2772.0,2.138888888888889,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0135/00062.png,video_0135,unknown,0,1,0,0.9605039358139038,0.0394960641860961,0.9605039358139038,0.9210078716278076,24.0,655.0,101.0,800.0,77.0,145.0,11165.0,1.8831168831168832,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0238/00105.png,video_0238,unknown,0,1,0,0.956488072872162,0.0435118936002254,0.956488072872162,0.9129761792719364,886.0,664.0,909.0,718.0,23.0,54.0,1242.0,2.347826086956522,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00203.png,video_0016,unknown,0,1,0,0.9548025727272034,0.0451973751187324,0.9548025727272034,0.9096051976084708,427.0,630.0,487.0,787.0,60.0,157.0,9420.0,2.6166666666666667,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00196.png,video_0016,unknown,0,1,0,0.9538953304290771,0.0461046285927295,0.9538953304290771,0.9077907018363476,380.0,630.0,434.0,788.0,54.0,158.0,8532.0,2.925925925925926,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0299/00021.png,video_0299,unknown,0,1,0,0.9526281356811525,0.0473718494176864,0.9526281356811525,0.905256286263466,1119.0,636.0,1150.0,714.0,31.0,78.0,2418.0,2.5161290322580645,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0251/00099.png,video_0251,unknown,0,1,0,0.9444195032119752,0.0555804707109928,0.9444195032119752,0.8888390325009823,1733.0,616.0,1798.0,820.0,65.0,204.0,13260.0,3.1384615384615384,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0208/00206.png,video_0208,unknown,0,1,0,0.9354121685028076,0.0645878612995147,0.9354121685028076,0.8708243072032928,1033.0,702.0,1072.0,791.0,39.0,89.0,3471.0,2.282051282051282,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0098/00205.png,video_0098,unknown,0,1,0,0.9298854470252992,0.0701145604252815,0.9298854470252992,0.8597708866000175,1674.0,613.0,1767.0,844.0,93.0,231.0,21483.0,2.4838709677419355,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0208/00234.png,video_0208,unknown,0,1,0,0.9282683730125428,0.0717315971851348,0.9282683730125428,0.8565367758274078,1058.0,692.0,1102.0,791.0,44.0,99.0,4356.0,2.25,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0208/00157.png,video_0208,unknown,0,1,0,0.9229874014854432,0.0770125389099121,0.9229874014854432,0.845974862575531,1012.0,698.0,1046.0,770.0,34.0,72.0,2448.0,2.117647058823529,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0095/00035.png,video_0095,unknown,0,1,0,0.921306610107422,0.0786934494972229,0.921306610107422,0.842613160610199,1029.0,596.0,1083.0,692.0,54.0,96.0,5184.0,1.7777777777777777,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0238/00035.png,video_0238,unknown,0,1,0,0.9162790775299072,0.0837209001183509,0.9162790775299072,0.8325581774115562,819.0,686.0,839.0,720.0,20.0,34.0,680.0,1.7,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0208/00185.png,video_0208,unknown,0,1,0,0.91580730676651,0.0841926634311676,0.91580730676651,0.8316146433353424,1023.0,698.0,1061.0,779.0,38.0,81.0,3078.0,2.131578947368421,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0208/00227.png,video_0208,unknown,0,1,0,0.913073718547821,0.0869263559579849,0.913073718547821,0.8261473625898361,1050.0,695.0,1094.0,794.0,44.0,99.0,4356.0,2.25,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0238/00112.png,video_0238,unknown,0,1,0,0.9128298759460448,0.0871701017022132,0.9128298759460448,0.8256597742438316,897.0,670.0,920.0,726.0,23.0,56.0,1288.0,2.4347826086956523,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0025/00042.png,video_0025,unknown,0,1,0,0.907601833343506,0.0923981368541717,0.907601833343506,0.8152036964893341,544.0,630.0,559.0,662.0,15.0,32.0,480.0,2.1333333333333333,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0095/00112.png,video_0095,unknown,0,1,0,0.9052090048789978,0.0947909727692604,0.9052090048789978,0.8104180321097374,1609.0,509.0,1777.0,916.0,168.0,407.0,68376.0,2.4226190476190474,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0016/00098.png,video_0016,unknown,0,1,0,0.90296471118927,0.0970353409647941,0.90296471118927,0.8059293702244759,421.0,639.0,483.0,749.0,62.0,110.0,6820.0,1.7741935483870968,,,,,-1
/content/drive/MyDrive/EfficientPIE2/JAAD/images/video_0007/00063.png,video_0007,unknown,0,1,0,0.901042640209198,0.0989573150873184,0.901042640209198,0.8020853251218796,1065.0,669.0,1084.0,706.0,19.0,37.0,703.0,1.947368421052632,,,,,-1
